,Product_Name,Category,City,Original_Price,Current_Price,Discount,Orders,Total_Revenue,Influencer_Active,Cost,Profit,Total_discount,Gross_Revenue,Date
0,Britannia Cake,Snacks,Delhi,148,163,5,283,44714,No,32290.3,12423.7,1415,46129,2024-09-15
1,Britannia Cake,Snacks,Pune,81,86,10,284,21584,Yes,17096.8,4487.200000000001,2840,24424,2024-06-09
2,Fortune Oil 1L,Grocery,Hyderabad,138,143,10,69,9177,No,6906.9,2270.1000000000004,690,9867,2024-11-26
3,Pepsi 500ml,Beverages,Delhi,127,127,10,83,9711,No,7378.699999999999,2332.300000000001,830,10541,2024-07-14
4,Aashirvaad Atta,Grocery,Chennai,34,49,10,169,6591,Yes,5796.7,794.3000000000002,1690,8281,2024-02-26
5,Amul Milk 500ml,Dairy,Delhi,149,159,0,246,39114,No,27379.8,11734.2,0,39114,2024-09-21
6,Britannia Cake,Snacks,Bangalore,82,87,0,254,22098,Yes,15468.6,6629.4,0,22098,2024-02-23
7,Amul Milk 500ml,Dairy,Bangalore,46,51,5,179,8234,No,6390.299999999999,1843.7000000000007,895,9129,2024-12-07
8,Aashirvaad Atta,Grocery,Mumbai,137,137,10,268,34036,No,25701.199999999997,8334.800000000003,2680,36716,2024-01-08
9,Maggi Noodles,Instant Food,Hyderabad,196,201,0,59,11859,Yes,8301.3,3557.7000000000007,0,11859,2024-02-28
10,Maggi Noodles,Instant Food,Hyderabad,109,114,0,241,27474,No,19231.8,8242.2,0,27474,2024-10-24
11,Maggi Noodles,Instant Food,Mumbai,28,28,5,281,6463,No,5507.599999999999,955.4000000000005,1405,7868,2024-09-18
12,Maggi Noodles,Instant Food,Pune,130,135,0,76,10260,No,7182.0,3078.0,0,10260,2024-10-04
13,Oreo Biscuits,Snacks,Bangalore,125,125,5,155,18600,No,13562.5,5037.5,775,19375,2024-07-14
14,Aashirvaad Atta,Grocery,Delhi,56,66,0,89,5874,No,4111.799999999999,1762.2000000000007,0,5874,2024-12-10
15,Coca Cola 1L,Beverages,Pune,50,50,10,118,4720,Yes,4130.0,590.0,1180,5900,2024-02-11
16,Britannia Cake,Snacks,Delhi,80,85,5,232,18560,No,13803.999999999998,4756.000000000002,1160,19720,2024-10-26
17,Pepsi 500ml,Beverages,Bangalore,164,174,0,100,17400,Yes,12180.0,5220.0,0,17400,2024-07-10
18,Parle-G,Snacks,Chennai,102,107,10,254,24638,No,19024.6,5613.4000000000015,2540,27178,2024-09-14
19,Nestle Munch,Confectionery,Mumbai,195,205,0,223,45715,No,32000.5,13714.5,0,45715,2024-12-04
20,Pepsi 500ml,Beverages,Hyderabad,154,159,5,253,38962,No,28158.899999999998,10803.100000000002,1265,40227,2024-02-28
21,Amul Milk 500ml,Dairy,Pune,120,135,0,291,39285,Yes,27499.5,11785.5,0,39285,2024-11-20
22,Parle-G,Snacks,Chennai,144,144,5,186,25854,Yes,18748.8,7105.200000000001,930,26784,2024-06-01
23,Maggi Noodles,Instant Food,Mumbai,118,123,5,124,14632,No,10676.4,3955.6000000000004,620,15252,2024-02-16
24,Pepsi 500ml,Beverages,Hyderabad,41,51,10,53,2173,Yes,1892.0999999999997,280.9000000000003,530,2703,2024-06-19
25,Maggi Noodles,Instant Food,Bangalore,147,147,10,167,22879,No,17184.3,5694.700000000001,1670,24549,2024-01-13
26,Fortune Oil 1L,Grocery,Pune,111,121,10,227,25197,No,19226.899999999998,5970.100000000002,2270,27467,2024-10-17
27,Coca Cola 1L,Beverages,Mumbai,182,192,5,56,10472,Yes,7526.399999999999,2945.6000000000013,280,10752,2024-09-30
28,Pepsi 500ml,Beverages,Mumbai,160,160,0,150,24000,No,16800.0,7200.0,0,24000,2024-01-01
29,Britannia Cake,Snacks,Chennai,175,175,0,210,36750,No,25724.999999999996,11025.000000000004,0,36750,2024-02-04
30,Maggi Noodles,Instant Food,Pune,122,127,10,122,14274,No,10845.8,3428.2000000000007,1220,15494,2024-02-21
31,Maggi Noodles,Instant Food,Hyderabad,124,139,5,58,7772,No,5643.4,2128.6000000000004,290,8062,2024-04-15
32,Oreo Biscuits,Snacks,Pune,159,164,10,83,12782,Yes,9528.4,3253.6000000000004,830,13612,2024-11-22
33,Amul Milk 500ml,Dairy,Hyderabad,142,157,10,196,28812,Yes,21540.399999999998,7271.600000000002,1960,30772,2024-01-26
34,Aashirvaad Atta,Grocery,Pune,80,90,5,246,20910,No,15497.999999999998,5412.000000000002,1230,22140,2024-09-24
35,Oreo Biscuits,Snacks,Bangalore,20,25,0,82,2050,No,1435.0,615.0,0,2050,2024-07-15
36,Britannia Cake,Snacks,Mumbai,138,138,10,129,16512,No,12461.4,4050.6000000000004,1290,17802,2024-07-02
37,Pepsi 500ml,Beverages,Mumbai,87,97,5,126,11592,No,8555.4,3036.6000000000004,630,12222,2024-04-07
38,Coca Cola 1L,Beverages,Mumbai,91,91,0,239,21749,No,15224.3,6524.700000000001,0,21749,2024-12-26
39,Britannia Cake,Snacks,Bangalore,108,113,0,56,6328,No,4429.599999999999,1898.4000000000005,0,6328,2024-07-22
40,Coca Cola 1L,Beverages,Pune,188,198,10,81,15228,No,11226.6,4001.3999999999996,810,16038,2024-02-22
41,Nestle Munch,Confectionery,Mumbai,74,74,0,68,5032,No,3522.3999999999996,1509.6000000000004,0,5032,2024-12-17
42,Parle-G,Snacks,Chennai,96,101,0,299,30199,No,21139.299999999996,9059.700000000004,0,30199,2024-03-20
43,Oreo Biscuits,Snacks,Delhi,177,187,5,143,26026,No,18718.7,7307.299999999999,715,26741,2024-01-24
44,Coca Cola 1L,Beverages,Mumbai,191,201,10,73,13943,Yes,10271.099999999999,3671.9000000000015,730,14673,2024-08-11
45,Fortune Oil 1L,Grocery,Chennai,128,143,0,231,33033,Yes,23123.1,9909.900000000001,0,33033,2024-06-20
46,Fortune Oil 1L,Grocery,Chennai,118,128,5,287,35301,No,25715.199999999997,9585.800000000003,1435,36736,2024-04-27
47,Nestle Munch,Confectionery,Mumbai,123,123,0,207,25461,Yes,17822.699999999997,7638.300000000003,0,25461,2024-09-30
48,Pepsi 500ml,Beverages,Bangalore,86,86,0,198,17028,No,11919.599999999999,5108.4000000000015,0,17028,2024-02-24
49,Coca Cola 1L,Beverages,Hyderabad,176,186,0,171,31806,No,22264.199999999997,9541.800000000003,0,31806,2024-02-18
50,Fortune Oil 1L,Grocery,Pune,137,147,10,52,7124,No,5350.799999999999,1773.2000000000007,520,7644,2024-07-22
51,Parle-G,Snacks,Pune,62,72,5,130,8710,No,6552.0,2158.0,650,9360,2024-02-13
52,Coca Cola 1L,Beverages,Pune,80,90,10,226,18080,Yes,14237.999999999998,3842.000000000002,2260,20340,2024-11-09
53,Amul Milk 500ml,Dairy,Mumbai,37,37,5,209,6688,No,5413.099999999999,1274.9000000000005,1045,7733,2024-10-05
54,Aashirvaad Atta,Grocery,Chennai,45,45,5,94,3760,No,2960.9999999999995,799.0000000000005,470,4230,2024-10-16
55,Aashirvaad Atta,Grocery,Delhi,68,83,5,101,7878,Yes,5868.099999999999,2009.9000000000005,505,8383,2024-06-12
56,Maggi Noodles,Instant Food,Hyderabad,182,197,0,294,57918,No,40542.59999999999,17375.40000000001,0,57918,2024-03-02
57,Oreo Biscuits,Snacks,Delhi,188,203,10,279,53847,No,39645.9,14201.099999999999,2790,56637,2024-02-07
58,Pepsi 500ml,Beverages,Delhi,135,140,5,162,21870,No,15876.0,5994.0,810,22680,2024-10-21
59,Amul Milk 500ml,Dairy,Hyderabad,193,193,10,159,29097,No,21480.899999999998,7616.100000000002,1590,30687,2024-03-24
60,Parle-G,Snacks,Mumbai,150,165,0,179,29535,No,20674.499999999996,8860.500000000004,0,29535,2024-12-19
61,Aashirvaad Atta,Grocery,Hyderabad,160,165,0,244,40260,No,28181.999999999996,12078.000000000004,0,40260,2024-02-05
62,Oreo Biscuits,Snacks,Mumbai,123,138,0,174,24012,Yes,16808.399999999998,7203.600000000002,0,24012,2024-03-23
63,Amul Milk 500ml,Dairy,Hyderabad,99,104,0,211,21944,No,15360.8,6583.200000000001,0,21944,2024-10-27
64,Coca Cola 1L,Beverages,Delhi,140,140,10,269,34970,No,26362.0,8608.0,2690,37660,2024-07-10
65,Pepsi 500ml,Beverages,Hyderabad,185,185,10,200,35000,No,25900.0,9100.0,2000,37000,2024-04-02
66,Britannia Cake,Snacks,Chennai,172,172,10,132,21384,No,15892.8,5491.200000000001,1320,22704,2024-11-16
67,Parle-G,Snacks,Bangalore,139,144,0,253,36432,Yes,25502.399999999998,10929.600000000002,0,36432,2024-07-25
68,Parle-G,Snacks,Mumbai,180,190,10,156,28080,Yes,20748.0,7332.0,1560,29640,2024-03-27
69,Aashirvaad Atta,Grocery,Pune,155,165,10,74,11470,No,8546.999999999998,2923.000000000002,740,12210,2024-06-27
